,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number
55,2023,Spring,2023-sp,AFRO 224,Humanist Persp of Afro-Am Exp,,US Minority Cultures,Literature & the Arts,,,,AFRO,224
56,2023,Spring,2023-sp,AFRO 228,Hip Hop Music: History and Culture,,US Minority Cultures,Literature & the Arts,,,,AFRO,228
57,2023,Spring,2023-sp,AFRO 231,Lang Diff Dis: American Persp,,US Minority Cultures,,,,,AFRO,231
58,2023,Spring,2023-sp,AFRO 234,Black Religious Imaginations,,US Minority Cultures,,,,,AFRO,234
59,2023,Spring,2023-sp,AFRO 243,Pan Africanism,,Non-Western Cultures,,,,,AFRO,243
60,2023,Spring,2023-sp,AFRO 250,Introduction to Health and Wellness in the Black Community,,US Minority Cultures,,,,Social Sciences,AFRO,250
61,2023,Spring,2023-sp,AFRO 259,Early African American Literature and Culture,,US Minority Cultures,,,,,AFRO,259
62,2023,Spring,2023-sp,AFRO 260,Modern African American Literature and Culture,,US Minority Cultures,,,,,AFRO,260
63,2023,Spring,2023-sp,AFRO 261,Intro to the African Diaspora,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,261
64,2023,Spring,2023-sp,AFRO 275,Afro-American History to 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,275
65,2023,Spring,2023-sp,AFRO 276,Afro-American Hist Since 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,276
66,2023,Spring,2023-sp,AFRO 281,Constructing Race in America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,281
67,2023,Spring,2023-sp,AFRO 287,African-American Women,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,287
68,2023,Spring,2023-sp,AFRO 290,Af Am Urban Hist Since 1917,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,290
69,2023,Spring,2023-sp,AFRO 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,,,,,AFRO,310
70,2023,Spring,2023-sp,AFRO 340,Dancing Black Popular Culture,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,340
71,2023,Spring,2023-sp,AFRO 400,African Diasporic Thought in the Caribbean,,Non-Western Cultures,,,,,AFRO,400
72,2023,Spring,2023-sp,AFRO 460,Slavery in the United States,Advanced Composition,,,,,,AFRO,460
73,2023,Spring,2023-sp,AFRO 474,"The Black Freedom Movement, 1955-Present",Advanced Composition,,,,,,AFRO,474
74,2023,Spring,2023-sp,AFST 103,Black Women in the Diaspora,,US Minority Cultures,,,,,AFST,103
75,2023,Spring,2023-sp,AFST 111,History of Africa to 1800,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AFST,111
76,2023,Spring,2023-sp,AFST 112,History of Africa from 1800,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AFST,112
77,2023,Spring,2023-sp,AFST 210,Introduction to Modern African Literature,,Non-Western Cultures,Literature & the Arts,,,,AFST,210
78,2023,Spring,2023-sp,AFST 213,African Muslim Societies,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AFST,213
79,2023,Spring,2023-sp,AFST 222,Introduction to Modern Africa,,Non-Western Cultures,,,,,AFST,222
80,2023,Spring,2023-sp,AFST 233,Context in International Interventions,,Non-Western Cultures,,,,Social Sciences,AFST,233
