Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,General Education
257,2023,Spring,2023-sp,CMN 277,Introduction to Mediated Communication,,US Minority Cultures,,,,Social Sciences,CMN,277,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
258,2023,Spring,2023-sp,CMN 280,Comm Technology & Society,,,,,,Social Sciences,CMN,280,,,,,,,,,,,,Social Sciences,Social Sciences
259,2023,Spring,2023-sp,CPSC 112,Introduction to Crop Sciences,,,,Life Sciences,,,CPSC,112,,,,,,,,Life Sciences,,,,,Life Sciences
260,2023,Spring,2023-sp,CPSC 113,"Environment, Agriculture, and Society",,Western/Comparative Cultures,,Life Sciences,,,CPSC,113,,,,Western/Comparative Cultures,,,,Life Sciences,,,,,"Western/Comparative Cultures,Life Sciences"
261,2023,Spring,2023-sp,CPSC 116,The Global Food Production Web,,Non-Western Cultures,,,,,CPSC,116,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
262,2023,Spring,2023-sp,CPSC 131,Agriculture in Mythology,,Non-Western Cultures,,,,,CPSC,131,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
263,2023,Spring,2023-sp,CPSC 241,Intro to Applied Statistics,,,,,Quantitative Reasoning 1,,CPSC,241,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
264,2023,Spring,2023-sp,CPSC 261,Biotechnology in Agriculture,,,,Life Sciences,,,CPSC,261,,,,,,,,Life Sciences,,,,,Life Sciences
265,2023,Spring,2023-sp,CPSC 270,Applied Entomology,,,,Life Sciences,,,CPSC,270,,,,,,,,Life Sciences,,,,,Life Sciences
266,2023,Spring,2023-sp,CS 101,Intro Computing: Engrg & Sci,,,,,Quantitative Reasoning 2,,CS,101,,,,,,,,,Quantitative Reasoning 2,,,,Quantitative Reasoning 2
267,2023,Spring,2023-sp,CS 105,Intro Computing: Non-Tech,,,,,Quantitative Reasoning 1,,CS,105,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
268,2023,Spring,2023-sp,CS 107,Data Science Discovery,,,,,Quantitative Reasoning 1,,CS,107,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
269,2023,Spring,2023-sp,CS 124,Introduction to Computer Science I,,,,,Quantitative Reasoning 1,,CS,124,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
270,2023,Spring,2023-sp,CS 125,Introduction to Computer Science,,,,,Quantitative Reasoning 1,,CS,125,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
271,2023,Spring,2023-sp,CS 128,Introduction to Computer Science II,,,,,Quantitative Reasoning 2,,CS,128,,,,,,,,,Quantitative Reasoning 2,,,,Quantitative Reasoning 2
272,2023,Spring,2023-sp,CS 211,Ethical and Professional Conduct,Advanced Composition,,,,,,CS,211,Advanced Composition,,,,,,,,,,,,Advanced Composition
273,2023,Spring,2023-sp,CS 225,Data Structures,,,,,Quantitative Reasoning 2,,CS,225,,,,,,,,,Quantitative Reasoning 2,,,,Quantitative Reasoning 2
274,2023,Spring,2023-sp,CS 429,"Software Engineering II, ACP",Advanced Composition,,,,,,CS,429,Advanced Composition,,,,,,,,,,,,Advanced Composition
275,2023,Spring,2023-sp,CS 493,"Senior Project II, ACP",Advanced Composition,,,,,,CS,493,Advanced Composition,,,,,,,,,,,,Advanced Composition
276,2023,Spring,2023-sp,CS 499,Senior Thesis,Advanced Composition,,,,,,CS,499,Advanced Composition,,,,,,,,,,,,Advanced Composition
277,2023,Spring,2023-sp,CW 100,Intro to Creative Writing,,,Literature & the Arts,,,,CW,100,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
278,2023,Spring,2023-sp,CW 243,"The Craft Essay: Creative Reading, Reflection, and Revision",Advanced Composition,,,,,,CW,243,Advanced Composition,,,,,,,,,,,,Advanced Composition
279,2023,Spring,2023-sp,CWL 111,Bible as Literature,,,Literature & the Arts,,,,CWL,111,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
280,2023,Spring,2023-sp,CWL 114,Global Consciousness and Lit,,Non-Western Cultures,Literature & the Arts,,,,CWL,114,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
281,2023,Spring,2023-sp,CWL 117,Russ & E Euro Science Fiction,,,Literature & the Arts,,,,CWL,117,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
282,2023,Spring,2023-sp,CWL 122,Russia and Black America,,US Minority Cultures,,,,,CWL,122,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
283,2023,Spring,2023-sp,CWL 151,Cross-Cultural Thematics,,,Literature & the Arts,,,,CWL,151,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
284,2023,Spring,2023-sp,CWL 189,Literatures of the Islamic World,,Non-Western Cultures,Literature & the Arts,,,,CWL,189,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
285,2023,Spring,2023-sp,CWL 190,Modern Asian and African Literatures,,Non-Western Cultures,Literature & the Arts,,,,CWL,190,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
286,2023,Spring,2023-sp,CWL 201,Comparative Lit Studies,,,Literature & the Arts,,,,CWL,201,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
287,2023,Spring,2023-sp,CWL 202,Literature and Ideas,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,202,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
288,2023,Spring,2023-sp,CWL 204,US Border Literatures and Cultures,,US Minority Cultures,,,,,CWL,204,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
289,2023,Spring,2023-sp,CWL 205,Islam & West Through Lit,,,Literature & the Arts,,,,CWL,205,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
290,2023,Spring,2023-sp,CWL 207,Indian Cinema in Context,,Non-Western Cultures,Literature & the Arts,,,,CWL,207,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
291,2023,Spring,2023-sp,CWL 208,Cultures & Literatures of South Asia,,Non-Western Cultures,Literature & the Arts,,,,CWL,208,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
292,2023,Spring,2023-sp,CWL 209,Jewish American and US Minority Literatures in Dialogue,,US Minority Cultures,Literature & the Arts,,,,CWL,209,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
293,2023,Spring,2023-sp,CWL 210,Introduction to Modern African Literature,,Non-Western Cultures,Literature & the Arts,,,,CWL,210,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
294,2023,Spring,2023-sp,CWL 211,The Arab-Israeli Conflict,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,211,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
295,2023,Spring,2023-sp,CWL 212,Israeli Cinema and Television,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,212,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
296,2023,Spring,2023-sp,CWL 215,"Madness, Myth, and Murder",,,Literature & the Arts,,,,CWL,215,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
297,2023,Spring,2023-sp,CWL 216,Legends of King Arthur,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,216,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
298,2023,Spring,2023-sp,CWL 217,Classical Chinese Lit,,Non-Western Cultures,Literature & the Arts,,,,CWL,217,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
299,2023,Spring,2023-sp,CWL 220,Exploring the Greek and Roman World,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,220,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
300,2023,Spring,2023-sp,CWL 221,Jewish Storytelling,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,221,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
301,2023,Spring,2023-sp,CWL 223,The Qur'an (Koran),,Non-Western Cultures,Literature & the Arts,,,,CWL,223,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
302,2023,Spring,2023-sp,CWL 226,Humanist Persp of Afro-Am Exp,,US Minority Cultures,Literature & the Arts,,,,CWL,226,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
303,2023,Spring,2023-sp,CWL 227,Golden Age of Russian Lit,,,Literature & the Arts,,,,CWL,227,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
304,2023,Spring,2023-sp,CWL 230,Popular Cultures of Contemporary East Asia,,Non-Western Cultures,Literature & the Arts,,,,CWL,230,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
305,2023,Spring,2023-sp,CWL 240,Italy Middle Ages & Renaiss,,,Literature & the Arts,,,,CWL,240,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
306,2023,Spring,2023-sp,CWL 241,Early Masterpieces of Western Culture,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,,,,CWL,241,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Advanced Composition,Western/Comparative Cultures,Literature & the Arts"
307,2023,Spring,2023-sp,CWL 242,Modern Masterpieces of Western Culture,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,,,,CWL,242,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Advanced Composition,Western/Comparative Cultures,Literature & the Arts"
308,2023,Spring,2023-sp,CWL 249,Russian Lit and Revolution,,,Literature & the Arts,,,,CWL,249,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
309,2023,Spring,2023-sp,CWL 250,Grimms' Fairy Tales - ACP,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,,,,CWL,250,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Advanced Composition,Western/Comparative Cultures,Literature & the Arts"
310,2023,Spring,2023-sp,CWL 251,Viking Mythology,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,CWL,251,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
311,2023,Spring,2023-sp,CWL 252,Viking Sagas in Translation,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,252,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
312,2023,Spring,2023-sp,CWL 253,Medieval Literature and Culture,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,253,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
313,2023,Spring,2023-sp,CWL 254,Grimm's Fairy Tales in Context,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,254,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
314,2023,Spring,2023-sp,CWL 255,Renaissance Literature and Culture,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,255,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
315,2023,Spring,2023-sp,CWL 257,Enlightenment Literature and Culture,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,257,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
316,2023,Spring,2023-sp,CWL 259,Early African American Literature and Culture,,US Minority Cultures,,,,,CWL,259,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
317,2023,Spring,2023-sp,CWL 260,Modern African American Literature and Culture,,US Minority Cultures,,,,,CWL,260,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
318,2023,Spring,2023-sp,CWL 262,Gender & Sexuality in Greco-Roman Antiquity,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,262,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
319,2023,Spring,2023-sp,CWL 263,Odysseus and Other Heroes,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,263,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
320,2023,Spring,2023-sp,CWL 264,Introduction to Greek and Roman Theater,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,,,,CWL,264,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Advanced Composition,Western/Comparative Cultures,Literature & the Arts"
321,2023,Spring,2023-sp,CWL 267,The Short Story,,,Literature & the Arts,,,,CWL,267,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
322,2023,Spring,2023-sp,CWL 269,"British, American, and Continental Fiction",,,Literature & the Arts,,,,CWL,269,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
323,2023,Spring,2023-sp,CWL 271,The Holocaust in Context - ACP,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,,,,CWL,271,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Advanced Composition,Western/Comparative Cultures,Literature & the Arts"
324,2023,Spring,2023-sp,CWL 272,Sexuality and Literature,,,Literature & the Arts,,,,CWL,272,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
325,2023,Spring,2023-sp,CWL 273,The Holocaust in Context,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,273,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
326,2023,Spring,2023-sp,CWL 275,Masterpieces of East Asian Lit,,Non-Western Cultures,Literature & the Arts,,,,CWL,275,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
327,2023,Spring,2023-sp,CWL 276,Asian Film Genres,,Non-Western Cultures,Literature & the Arts,,,,CWL,276,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
328,2023,Spring,2023-sp,CWL 283,Jewish Sacred Literature,,,Literature & the Arts,,,,CWL,283,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
329,2023,Spring,2023-sp,CWL 311,Japan Lit in Translation I,,Non-Western Cultures,Literature & the Arts,,,,CWL,311,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
330,2023,Spring,2023-sp,CWL 312,Japan Lit in Translation II,,Non-Western Cultures,Literature & the Arts,,,,CWL,312,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
331,2023,Spring,2023-sp,CWL 320,Responses to the Holocaust,,Western/Comparative Cultures,Literature & the Arts,,,,CWL,320,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
332,2023,Spring,2023-sp,CWL 322,The Comic Imagination,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,,,,CWL,322,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Advanced Composition,Western/Comparative Cultures,Literature & the Arts"
333,2023,Spring,2023-sp,CWL 400,African Diasporic Thought in the Caribbean,,Non-Western Cultures,,,,,CWL,400,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
334,2023,Spring,2023-sp,DANC 100,Intro to Contemporary Dance,,Western/Comparative Cultures,Literature & the Arts,,,,DANC,100,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
335,2023,Spring,2023-sp,DANC 125,Black Dances of Resistance,,US Minority Cultures,,,,,DANC,125,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
336,2023,Spring,2023-sp,DANC 200,Explore Music through Dance,,,Literature & the Arts,,,,DANC,200,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
337,2023,Spring,2023-sp,DANC 340,Dancing Black Popular Culture,,US Minority Cultures,Historical & Philosophical Perspectives,,,,DANC,340,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
338,2023,Spring,2023-sp,DANC 345,Dance Anatomy and Kinesiology,,,,Life Sciences,,,DANC,345,,,,,,,,Life Sciences,,,,,Life Sciences
339,2023,Spring,2023-sp,DANC 441,Dance History Seminar,Advanced Composition,,,,,,DANC,441,Advanced Composition,,,,,,,,,,,,Advanced Composition
340,2023,Spring,2023-sp,EALC 120,East Asian Civilizations,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,120,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
341,2023,Spring,2023-sp,EALC 122,History East Asian Religions,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,122,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
342,2023,Spring,2023-sp,EALC 130,The Chinese Language,,Non-Western Cultures,,,,Social Sciences,EALC,130,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
343,2023,Spring,2023-sp,EALC 132,Zen,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,132,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
344,2023,Spring,2023-sp,EALC 207,Classical Chinese Lit,,Non-Western Cultures,Literature & the Arts,,,,EALC,207,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
345,2023,Spring,2023-sp,EALC 212,East Asian Art History,,Non-Western Cultures,Literature & the Arts,,,,EALC,212,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
346,2023,Spring,2023-sp,EALC 214,Art in China,,Non-Western Cultures,,,,,EALC,214,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
347,2023,Spring,2023-sp,EALC 220,Traditional China,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,220,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
348,2023,Spring,2023-sp,EALC 221,Modern China,,Non-Western Cultures,,,,,EALC,221,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
349,2023,Spring,2023-sp,EALC 222,Chinese Thought and Culture,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,222,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
350,2023,Spring,2023-sp,EALC 225,Japanese Religions: Thought and Practice,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,225,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
351,2023,Spring,2023-sp,EALC 226,Premodern Japanese History,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,226,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
352,2023,Spring,2023-sp,EALC 227,Modern Japanese History,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,227,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
353,2023,Spring,2023-sp,EALC 230,Popular Cultures of Contemporary East Asia,,Non-Western Cultures,Literature & the Arts,,,,EALC,230,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
354,2023,Spring,2023-sp,EALC 240,Chinese Civilization,,Non-Western Cultures,,,,,EALC,240,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
355,2023,Spring,2023-sp,EALC 250,Intro to Japanese Culture,,Non-Western Cultures,,,,Social Sciences,EALC,250,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
356,2023,Spring,2023-sp,EALC 275,Masterpieces of East Asian Lit,,Non-Western Cultures,Literature & the Arts,,,,EALC,275,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
357,2023,Spring,2023-sp,EALC 276,Asian Film Genres,,Non-Western Cultures,Literature & the Arts,,,,EALC,276,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
358,2023,Spring,2023-sp,EALC 285,Intro to Korea Through Film,,Non-Western Cultures,,,,,EALC,285,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
359,2023,Spring,2023-sp,EALC 287,Introduction to Buddhism,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,287,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
360,2023,Spring,2023-sp,EALC 305,Japan Lit in Translation I,,Non-Western Cultures,Literature & the Arts,,,,EALC,305,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
361,2023,Spring,2023-sp,EALC 306,Japan Lit in Translation II,,Non-Western Cultures,Literature & the Arts,,,,EALC,306,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
362,2023,Spring,2023-sp,EALC 327,Tokyo: Then and Now,Advanced Composition,Non-Western Cultures,,,,,EALC,327,Advanced Composition,Non-Western Cultures,,,,,,,,,,,"Advanced Composition,Non-Western Cultures"
363,2023,Spring,2023-sp,EALC 361,Gender and Women in East Asia,Advanced Composition,,,,,,EALC,361,Advanced Composition,,,,,,,,,,,,Advanced Composition
364,2023,Spring,2023-sp,EALC 365,Contemporary Korean Society,,Non-Western Cultures,,,,Behavioral Sciences,EALC,365,,Non-Western Cultures,,,,,,,,,Behavioral Sciences,,"Non-Western Cultures,Behavioral Sciences"
365,2023,Spring,2023-sp,EALC 367,History of Korea,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,EALC,367,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
366,2023,Spring,2023-sp,ECE 101,Exploring Digital Info Technol,,,,Physical Sciences,Quantitative Reasoning 2,,ECE,101,,,,,,,Physical Sciences,,Quantitative Reasoning 2,,,,"Physical Sciences,Quantitative Reasoning 2"
367,2023,Spring,2023-sp,ECE 316,Ethics and Engineering,Advanced Composition,,Historical & Philosophical Perspectives,,,,ECE,316,Advanced Composition,,,,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,Historical & Philosophical Perspectives"
368,2023,Spring,2023-sp,ECE 445,Senior Design Project Lab,Advanced Composition,,,,,,ECE,445,Advanced Composition,,,,,,,,,,,,Advanced Composition
369,2023,Spring,2023-sp,ECE 496,Senior Research Project,Advanced Composition,,,,,,ECE,496,Advanced Composition,,,,,,,,,,,,Advanced Composition
370,2023,Spring,2023-sp,ECE 499,Senior Thesis,Advanced Composition,,,,,,ECE,499,Advanced Composition,,,,,,,,,,,,Advanced Composition
371,2023,Spring,2023-sp,ECON 101,Introduction to Economics,,,,,,Social Sciences,ECON,101,,,,,,,,,,,,Social Sciences,Social Sciences
372,2023,Spring,2023-sp,ECON 102,Microeconomic Principles,,,,,,Social Sciences,ECON,102,,,,,,,,,,,,Social Sciences,Social Sciences
373,2023,Spring,2023-sp,ECON 103,Macroeconomic Principles,,,,,,Social Sciences,ECON,103,,,,,,,,,,,,Social Sciences,Social Sciences
374,2023,Spring,2023-sp,ECON 202,Economic Statistics I,,,,,Quantitative Reasoning 1,,ECON,202,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
375,2023,Spring,2023-sp,ECON 210,Environmental Economics,,,,,,Social Sciences,ECON,210,,,,,,,,,,,,Social Sciences,Social Sciences
376,2023,Spring,2023-sp,ECON 442,Women in the Economy,Advanced Composition,,,,,,ECON,442,Advanced Composition,,,,,,,,,,,,Advanced Composition
377,2023,Spring,2023-sp,ECON 451,Program Evaluation in Developing Economies,Advanced Composition,,,,,,ECON,451,Advanced Composition,,,,,,,,,,,,Advanced Composition
378,2023,Spring,2023-sp,EDUC 201,Identity and Difference in Education,,US Minority Cultures,,,,,EDUC,201,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
379,2023,Spring,2023-sp,EDUC 202,"Social Justice, School and Society",Advanced Composition,,Historical & Philosophical Perspectives,,,,EDUC,202,Advanced Composition,,,,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,Historical & Philosophical Perspectives"
380,2023,Spring,2023-sp,ENGL 101,Intro to Poetry,,,Literature & the Arts,,,,ENGL,101,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
381,2023,Spring,2023-sp,ENGL 102,Intro to Drama,,,Literature & the Arts,,,,ENGL,102,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
382,2023,Spring,2023-sp,ENGL 103,Intro to Fiction,,,Literature & the Arts,,,,ENGL,103,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
383,2023,Spring,2023-sp,ENGL 104,Introduction to Film,,,Literature & the Arts,,,,ENGL,104,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
384,2023,Spring,2023-sp,ENGL 109,Intro to Fiction-ACP,Advanced Composition,,Literature & the Arts,,,,ENGL,109,Advanced Composition,,,,Literature & the Arts,,,,,,,,"Advanced Composition,Literature & the Arts"
385,2023,Spring,2023-sp,ENGL 114,Bible as Literature,,,Literature & the Arts,,,,ENGL,114,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
386,2023,Spring,2023-sp,ENGL 115,Intro to British Literature,,Western/Comparative Cultures,Literature & the Arts,,,,ENGL,115,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
387,2023,Spring,2023-sp,ENGL 116,Introduction to American Literature,,Western/Comparative Cultures,Literature & the Arts,,,,ENGL,116,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
388,2023,Spring,2023-sp,ENGL 117,Shakespeare on Film,,,Literature & the Arts,,,,ENGL,117,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
389,2023,Spring,2023-sp,ENGL 122,The Middle Ages in Popular Culture,,,Literature & the Arts,,,,ENGL,122,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
390,2023,Spring,2023-sp,ENGL 150,Black Literature in America,,US Minority Cultures,Literature & the Arts,,,,ENGL,150,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
391,2023,Spring,2023-sp,ENGL 200,Introduction to the Study of Literature and Culture,,,Literature & the Arts,,,,ENGL,200,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
392,2023,Spring,2023-sp,ENGL 202,Medieval Literature and Culture,,Western/Comparative Cultures,Literature & the Arts,,,,ENGL,202,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
