Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,General Education
30,2023,Spring,2023-sp,ACE 255,Economics of Food and Environmental Justice,,US Minority Cultures,,,,Social Sciences,ACE,255,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
31,2023,Spring,2023-sp,ACE 262,Applied Statistical Methods and Data Analytics I,,,,,Quantitative Reasoning 1,,ACE,262,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
32,2023,Spring,2023-sp,ACES 102,Intro Sustainable Food Systems,,,,Life Sciences,,,ACES,102,,,,,,,,Life Sciences,,,,,Life Sciences
33,2023,Spring,2023-sp,ACES 179,History of Ag in IL Since 1860,,US Minority Cultures,Historical & Philosophical Perspectives,,,,ACES,179,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
34,2023,Spring,2023-sp,ADV 150,Introduction to Advertising,,,,,,Social Sciences,ADV,150,,,,,,,,,,,,Social Sciences,Social Sciences
35,2023,Spring,2023-sp,ADV 175,Diversity in Advertising,,US Minority Cultures,,,,,ADV,175,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
36,2023,Spring,2023-sp,ADV 200,Data Literacy,,,,,Quantitative Reasoning 1,,ADV,200,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
37,2023,Spring,2023-sp,ADV 305,Advertising Technology and the Digital World,,,,,,Social Sciences,ADV,305,,,,,,,,,,,,Social Sciences,Social Sciences
38,2023,Spring,2023-sp,ADV 312,Advertising History,,,Historical & Philosophical Perspectives,,,,ADV,312,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
39,2023,Spring,2023-sp,ADV 393,Advertising and Society,,,,,,Social Sciences,ADV,393,,,,,,,,,,,,Social Sciences,Social Sciences
40,2023,Spring,2023-sp,ADV 476,Global Advertising,,Western/Comparative Cultures,,,,Social Sciences,ADV,476,,,,Western/Comparative Cultures,,,,,,,,Social Sciences,"Social Sciences,Western/Comparative Cultures"
41,2023,Spring,2023-sp,AE 443,Aerospace Systems Design II,Advanced Composition,,,,,,AE,443,Advanced Composition,,,,,,,,,,,,Advanced Composition
42,2023,Spring,2023-sp,AFAS 120,Intro to US Armed Forces,,,Historical & Philosophical Perspectives,,,,AFAS,120,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
43,2023,Spring,2023-sp,AFRO 100,Intro to African American St,,US Minority Cultures,,,,Social Sciences,AFRO,100,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
44,2023,Spring,2023-sp,AFRO 101,"Black America, 1619-Present",,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,101,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
45,2023,Spring,2023-sp,AFRO 103,Black Women in the Diaspora,,US Minority Cultures,,,,,AFRO,103,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
46,2023,Spring,2023-sp,AFRO 105,Black Literature in America,,US Minority Cultures,Literature & the Arts,,,,AFRO,105,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
47,2023,Spring,2023-sp,AFRO 106,Hist Arch Americas,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,106,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
48,2023,Spring,2023-sp,AFRO 132,African American Music,,US Minority Cultures,Literature & the Arts,,,,AFRO,132,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
49,2023,Spring,2023-sp,AFRO 134,"Religion, Race, and Resistance",,US Minority Cultures,,,,,AFRO,134,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
50,2023,Spring,2023-sp,AFRO 201,US Racial & Ethnic Politics,,US Minority Cultures,,,,Social Sciences,AFRO,201,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
51,2023,Spring,2023-sp,AFRO 211,Intro to African-American Film,,US Minority Cultures,,,,,AFRO,211,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
52,2023,Spring,2023-sp,AFRO 212,Intro African American Theat,,US Minority Cultures,,,,,AFRO,212,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
53,2023,Spring,2023-sp,AFRO 215,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,215,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
54,2023,Spring,2023-sp,AFRO 221,History of the Prison,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,AFRO,221,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
55,2023,Spring,2023-sp,AFRO 224,Humanist Persp of Afro-Am Exp,,US Minority Cultures,Literature & the Arts,,,,AFRO,224,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
56,2023,Spring,2023-sp,AFRO 228,Hip Hop Music: History and Culture,,US Minority Cultures,Literature & the Arts,,,,AFRO,228,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
57,2023,Spring,2023-sp,AFRO 231,Lang Diff Dis: American Persp,,US Minority Cultures,,,,,AFRO,231,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
58,2023,Spring,2023-sp,AFRO 234,Black Religious Imaginations,,US Minority Cultures,,,,,AFRO,234,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
59,2023,Spring,2023-sp,AFRO 243,Pan Africanism,,Non-Western Cultures,,,,,AFRO,243,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
60,2023,Spring,2023-sp,AFRO 250,Introduction to Health and Wellness in the Black Community,,US Minority Cultures,,,,Social Sciences,AFRO,250,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
61,2023,Spring,2023-sp,AFRO 259,Early African American Literature and Culture,,US Minority Cultures,,,,,AFRO,259,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
62,2023,Spring,2023-sp,AFRO 260,Modern African American Literature and Culture,,US Minority Cultures,,,,,AFRO,260,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
63,2023,Spring,2023-sp,AFRO 261,Intro to the African Diaspora,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,261,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
64,2023,Spring,2023-sp,AFRO 275,Afro-American History to 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,275,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
65,2023,Spring,2023-sp,AFRO 276,Afro-American Hist Since 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,276,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
66,2023,Spring,2023-sp,AFRO 281,Constructing Race in America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,281,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
67,2023,Spring,2023-sp,AFRO 287,African-American Women,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,287,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
68,2023,Spring,2023-sp,AFRO 290,Af Am Urban Hist Since 1917,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,290,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
69,2023,Spring,2023-sp,AFRO 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,,,,,AFRO,310,Advanced Composition,,US Minority Cultures,,,,,,,,,,"Advanced Composition,US Minority Cultures"
70,2023,Spring,2023-sp,AFRO 340,Dancing Black Popular Culture,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,340,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
71,2023,Spring,2023-sp,AFRO 400,African Diasporic Thought in the Caribbean,,Non-Western Cultures,,,,,AFRO,400,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
72,2023,Spring,2023-sp,AFRO 460,Slavery in the United States,Advanced Composition,,,,,,AFRO,460,Advanced Composition,,,,,,,,,,,,Advanced Composition
73,2023,Spring,2023-sp,AFRO 474,"The Black Freedom Movement, 1955-Present",Advanced Composition,,,,,,AFRO,474,Advanced Composition,,,,,,,,,,,,Advanced Composition
74,2023,Spring,2023-sp,AFST 103,Black Women in the Diaspora,,US Minority Cultures,,,,,AFST,103,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
75,2023,Spring,2023-sp,AFST 111,History of Africa to 1800,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AFST,111,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
76,2023,Spring,2023-sp,AFST 112,History of Africa from 1800,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AFST,112,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
77,2023,Spring,2023-sp,AFST 210,Introduction to Modern African Literature,,Non-Western Cultures,Literature & the Arts,,,,AFST,210,,Non-Western Cultures,,,Literature & the Arts,,,,,,,,"Non-Western Cultures,Literature & the Arts"
78,2023,Spring,2023-sp,AFST 213,African Muslim Societies,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AFST,213,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
79,2023,Spring,2023-sp,AFST 222,Introduction to Modern Africa,,Non-Western Cultures,,,,,AFST,222,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
80,2023,Spring,2023-sp,AFST 233,Context in International Interventions,,Non-Western Cultures,,,,Social Sciences,AFST,233,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
81,2023,Spring,2023-sp,AFST 243,Pan Africanism,,Non-Western Cultures,,,,,AFST,243,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
82,2023,Spring,2023-sp,AFST 254,Economic Systems in Africa,,Non-Western Cultures,,,,Social Sciences,AFST,254,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
83,2023,Spring,2023-sp,AFST 266,African Film and Society,,Non-Western Cultures,,,,,AFST,266,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
84,2023,Spring,2023-sp,AGCM 220,Communicating Agriculture,Advanced Composition,,,,,,AGCM,220,Advanced Composition,,,,,,,,,,,,Advanced Composition
85,2023,Spring,2023-sp,AGED 360,Advanced Leadership Studies,,,,,,Social Sciences,AGED,360,,,,,,,,,,,,Social Sciences,Social Sciences
86,2023,Spring,2023-sp,AIS 101,Intro to Amer Indian Studies,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,101,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
