Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
16,2023,Spring,2023-sp,AAS 287,Food and Asian Americans,,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,287,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
16,2023,Spring,2023-sp,AAS 287,Food and Asian Americans,,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,287,,,,,,,,,,,,,US Minority Cultures
17,2023,Spring,2023-sp,AAS 288,Global Islam and Feminisms,,Non-Western Cultures,Literature & the Arts,,,Social Sciences,AAS,288,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
18,2023,Spring,2023-sp,AAS 297,Asian Families in America,,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,297,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
18,2023,Spring,2023-sp,AAS 297,Asian Families in America,,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,297,,,,,,,,,,,,,US Minority Cultures
19,2023,Spring,2023-sp,AAS 300,"Theories of Race, Gender, and Sexuality",Advanced Composition,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,300,Advanced Composition,,,,,,,,,,,,Advanced Composition
20,2023,Spring,2023-sp,AAS 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,310,Advanced Composition,,US Minority Cultures,,,,,,,,,,Advanced Composition
20,2023,Spring,2023-sp,AAS 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,310,,,,,,,,,,,,,US Minority Cultures
21,2023,Spring,2023-sp,AAS 370,"Immigration, Law, and Rights",Advanced Composition,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,370,Advanced Composition,,,,,,,,,,,,Advanced Composition
22,2023,Spring,2023-sp,AAS 402,Asian American Education,Advanced Composition,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,402,Advanced Composition,,US Minority Cultures,,,,,,,,,,Advanced Composition
