Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
196,2023,Spring,2023-sp,BCS 115,South Slavic Cultures,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BCS,115,,Non-Western Cultures,,,,,,,,,,Social Sciences,Social Sciences
196,2023,Spring,2023-sp,BCS 115,South Slavic Cultures,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BCS,115,,,,,,,,,,,,,Non-Western Cultures
197,2023,Spring,2023-sp,BCS 215,Yugoslavia and After,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BCS,215,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
198,2023,Spring,2023-sp,BIOC 460,Biochemistry Senior Seminar,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BIOC,460,Advanced Composition,,,,,,,,,,,,Advanced Composition
199,2023,Spring,2023-sp,BTW 250,Principles Bus Comm,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BTW,250,Advanced Composition,,,,,,,,,,,,Advanced Composition
200,2023,Spring,2023-sp,BTW 261,Principles Tech Comm,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BTW,261,Advanced Composition,,,,,,,,,,,,Advanced Composition
201,2023,Spring,2023-sp,BTW 263,Writing in the Disciplines,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BTW,263,Advanced Composition,,,,,,,,,,,,Advanced Composition
202,2023,Spring,2023-sp,BTW 280,Global Business Communication,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BTW,280,Advanced Composition,,,,,,,,,,,,Advanced Composition
203,2023,Spring,2023-sp,BTW 285,Writing a Web Presence,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,BTW,285,Advanced Composition,,,,,,,,,,,,Advanced Composition
204,2023,Spring,2023-sp,CEE 300,Behavior of Materials,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CEE,300,Advanced Composition,,,,,,,,,,,,Advanced Composition
205,2023,Spring,2023-sp,CHBE 101,Hidden World of Engineering,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHBE,101,,,,,,,Physical Sciences,,,,,,Physical Sciences
206,2023,Spring,2023-sp,CHBE 431,Process Design,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHBE,431,Advanced Composition,,,,,,,,,,,,Advanced Composition
207,2023,Spring,2023-sp,CHEM 101,Introductory Chemistry,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,101,,,,,,,Physical Sciences,,,,,,Physical Sciences
208,2023,Spring,2023-sp,CHEM 102,General Chemistry I,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,102,,,,,,,Physical Sciences,,,,,,Physical Sciences
209,2023,Spring,2023-sp,CHEM 103,General Chemistry Lab I,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,103,,,,,,,Physical Sciences,,,,,,Physical Sciences
210,2023,Spring,2023-sp,CHEM 104,General Chemistry II,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,104,,,,,,,Physical Sciences,,,,,,Physical Sciences
211,2023,Spring,2023-sp,CHEM 105,General Chemistry Lab II,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,105,,,,,,,Physical Sciences,,,,,,Physical Sciences
212,2023,Spring,2023-sp,CHEM 108,"Chemistry, Everyday Phenomena",Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,108,,,,,,,Physical Sciences,,,,,,Physical Sciences
213,2023,Spring,2023-sp,CHEM 202,Accelerated Chemistry I,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,202,,,,,,,Physical Sciences,,,,,,Physical Sciences
214,2023,Spring,2023-sp,CHEM 204,Accelerated Chemistry II,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,204,,,,,,,Physical Sciences,,,,,,Physical Sciences
215,2023,Spring,2023-sp,CHEM 317,Inorganic Chemistry Lab,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,317,Advanced Composition,,,,,,,,,,,,Advanced Composition
216,2023,Spring,2023-sp,CHEM 437,Organic Chemistry Lab,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHEM,437,Advanced Composition,,,,,,,,,,,,Advanced Composition
217,2023,Spring,2023-sp,CHLH 100,Contemporary Health,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHLH,100,,,,,,,,,,,,Social Sciences,Social Sciences
218,2023,Spring,2023-sp,CHLH 101,Introduction to Public Health,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHLH,101,,,,,,,,,,,,Social Sciences,Social Sciences
219,2023,Spring,2023-sp,CHLH 244,Health Statistics,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 1,Social Sciences,CHLH,244,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
220,2023,Spring,2023-sp,CHLH 260,Introduction to Medical Ethics,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 1,Social Sciences,CHLH,260,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
221,2023,Spring,2023-sp,CHLH 274,Introduction to Epidemiology,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 1,Social Sciences,CHLH,274,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
222,2023,Spring,2023-sp,CHLH 304,Foundations of Health Behavior,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 1,Behavioral Sciences,CHLH,304,Advanced Composition,,,,,,,,,,Behavioral Sciences,,Advanced Composition
222,2023,Spring,2023-sp,CHLH 304,Foundations of Health Behavior,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 1,Behavioral Sciences,CHLH,304,,,,,,,,,,,,,Behavioral Sciences
223,2023,Spring,2023-sp,CHLH 330,Disability in American Society,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 1,Social Sciences,CHLH,330,,,,,,,,,,,,Social Sciences,Social Sciences
224,2023,Spring,2023-sp,CHLH 421,Health Data Analysis,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHLH,421,,,,,,,,,Quantitative Reasoning 2,,,,Quantitative Reasoning 2
225,2023,Spring,2023-sp,CHP 396,Interdisciplinary Seminar ACP,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CHP,396,Advanced Composition,,,,,,,,,,,,Advanced Composition
226,2023,Spring,2023-sp,CI 210,Introduction to Digital Learning Environments,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CI,210,,,,,,,,,,,Behavioral Sciences,,Behavioral Sciences
227,2023,Spring,2023-sp,CLCV 114,Introduction to Ancient Greek Culture,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,114,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Western/Comparative Cultures
227,2023,Spring,2023-sp,CLCV 114,Introduction to Ancient Greek Culture,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,114,,,,,,,,,,,,,Literature & the Arts
228,2023,Spring,2023-sp,CLCV 115,Mythology of Greece and Rome,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,115,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Western/Comparative Cultures
228,2023,Spring,2023-sp,CLCV 115,Mythology of Greece and Rome,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,115,,,,,,,,,,,,,Literature & the Arts
229,2023,Spring,2023-sp,CLCV 116,Introduction to Ancient Roman Culture,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,116,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
229,2023,Spring,2023-sp,CLCV 116,Introduction to Ancient Roman Culture,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,116,,,,,,,,,,,,,Historical & Philosophical Perspectives
230,2023,Spring,2023-sp,CLCV 120,The Classical Tradition,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,120,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Western/Comparative Cultures
230,2023,Spring,2023-sp,CLCV 120,The Classical Tradition,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,120,,,,,,,,,,,,,Literature & the Arts
231,2023,Spring,2023-sp,CLCV 131,"Classical Archaeology, Greece",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,131,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
231,2023,Spring,2023-sp,CLCV 131,"Classical Archaeology, Greece",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,131,,,,,,,,,,,,,Historical & Philosophical Perspectives
232,2023,Spring,2023-sp,CLCV 132,"Class Archaeology, Rome-Italy",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,132,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
232,2023,Spring,2023-sp,CLCV 132,"Class Archaeology, Rome-Italy",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,132,,,,,,,,,,,,,Historical & Philosophical Perspectives
233,2023,Spring,2023-sp,CLCV 133,Archaeology of Israel,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,133,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
233,2023,Spring,2023-sp,CLCV 133,Archaeology of Israel,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,133,,,,,,,,,,,,,Historical & Philosophical Perspectives
234,2023,Spring,2023-sp,CLCV 160,Ancient Greek & Roman Religion,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,160,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
234,2023,Spring,2023-sp,CLCV 160,Ancient Greek & Roman Religion,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,160,,,,,,,,,,,,,Historical & Philosophical Perspectives
235,2023,Spring,2023-sp,CLCV 203,Ancient Philosophy,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,203,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
236,2023,Spring,2023-sp,CLCV 220,Exploring the Greek and Roman World,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,220,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Western/Comparative Cultures
236,2023,Spring,2023-sp,CLCV 220,Exploring the Greek and Roman World,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,220,,,,,,,,,,,,,Literature & the Arts
237,2023,Spring,2023-sp,CLCV 221,Odysseus and Other Heroes,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,221,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Western/Comparative Cultures
237,2023,Spring,2023-sp,CLCV 221,Odysseus and Other Heroes,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,221,,,,,,,,,,,,,Literature & the Arts
238,2023,Spring,2023-sp,CLCV 222,Introduction to Greek and Roman Theater,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,222,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Advanced Composition
238,2023,Spring,2023-sp,CLCV 222,Introduction to Greek and Roman Theater,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,222,,,,,,,,,,,,,Western/Comparative Cultures
238,2023,Spring,2023-sp,CLCV 222,Introduction to Greek and Roman Theater,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,222,,,,,,,,,,,,,Literature & the Arts
239,2023,Spring,2023-sp,CLCV 223,"Myth,History,Fiction,Tradition",Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,223,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
240,2023,Spring,2023-sp,CLCV 224,American Race and Ethnicity in the Classical Tradition,Advanced Composition,US Minority Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,224,,,US Minority Cultures,,Literature & the Arts,,,,,,,,US Minority Cultures
240,2023,Spring,2023-sp,CLCV 224,American Race and Ethnicity in the Classical Tradition,Advanced Composition,US Minority Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,224,,,,,,,,,,,,,Literature & the Arts
241,2023,Spring,2023-sp,CLCV 225,"Greco-Roman Demo, Econ, Cult",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,225,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
241,2023,Spring,2023-sp,CLCV 225,"Greco-Roman Demo, Econ, Cult",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,225,,,,,,,,,,,,,Historical & Philosophical Perspectives
242,2023,Spring,2023-sp,CLCV 230,Ancient Engineering,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,230,,,,Western/Comparative Cultures,,,Physical Sciences,,,,,,Western/Comparative Cultures
242,2023,Spring,2023-sp,CLCV 230,Ancient Engineering,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,230,,,,,,,,,,,,,Physical Sciences
243,2023,Spring,2023-sp,CLCV 231,Development of Ancient Cities,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,231,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
243,2023,Spring,2023-sp,CLCV 231,Development of Ancient Cities,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,231,,,,,,,,,,,,,Historical & Philosophical Perspectives
244,2023,Spring,2023-sp,CLCV 240,Gender & Sexuality in Greco-Roman Antiquity,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,240,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Western/Comparative Cultures
244,2023,Spring,2023-sp,CLCV 240,Gender & Sexuality in Greco-Roman Antiquity,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,240,,,,,,,,,,,,,Literature & the Arts
245,2023,Spring,2023-sp,CLCV 250,Sports and Society in Greece and Rome,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,250,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
245,2023,Spring,2023-sp,CLCV 250,Sports and Society in Greece and Rome,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,250,,,,,,,,,,,,,Historical & Philosophical Perspectives
246,2023,Spring,2023-sp,CLCV 323,The Comic Imagination,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,323,Advanced Composition,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,Advanced Composition
246,2023,Spring,2023-sp,CLCV 323,The Comic Imagination,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,323,,,,,,,,,,,,,Western/Comparative Cultures
246,2023,Spring,2023-sp,CLCV 323,The Comic Imagination,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CLCV,323,,,,,,,,,,,,,Literature & the Arts
247,2023,Spring,2023-sp,CMN 102,Introduction to Communication,Advanced Composition,Western/Comparative Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,102,,,,,,,,,,,Behavioral Sciences,,Behavioral Sciences
248,2023,Spring,2023-sp,CMN 210,Public Comm in Everyday Life,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,210,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
248,2023,Spring,2023-sp,CMN 210,Public Comm in Everyday Life,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,210,,,,,,,,,,,,,Historical & Philosophical Perspectives
249,2023,Spring,2023-sp,CMN 214,Organizational Communication & Diversity,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,214,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
250,2023,Spring,2023-sp,CMN 220,Communicating Public Policy,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,220,Advanced Composition,,,,,,,,,,,,Advanced Composition
251,2023,Spring,2023-sp,CMN 230,Intro to Interpersonal Comm,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,230,,,,,,,,,,,,Social Sciences,Social Sciences
252,2023,Spring,2023-sp,CMN 231,Communication and Conflict,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,231,,,,,,,,,,,Behavioral Sciences,,Behavioral Sciences
253,2023,Spring,2023-sp,CMN 232,Intro to Intercultural Comm,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,232,,Non-Western Cultures,,,,,,,,,,Social Sciences,Social Sciences
253,2023,Spring,2023-sp,CMN 232,Intro to Intercultural Comm,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,232,,,,,,,,,,,,,Non-Western Cultures
254,2023,Spring,2023-sp,CMN 250,Social Movement Communication,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,250,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
255,2023,Spring,2023-sp,CMN 260,Intro to Health Communication,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,260,,,,Western/Comparative Cultures,,,,,,,Behavioral Sciences,,Western/Comparative Cultures
255,2023,Spring,2023-sp,CMN 260,Intro to Health Communication,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,260,,,,,,,,,,,,,Behavioral Sciences
256,2023,Spring,2023-sp,CMN 275,"Media, Money and Power",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,275,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
256,2023,Spring,2023-sp,CMN 275,"Media, Money and Power",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Behavioral Sciences,CMN,275,,,,,,,,,,,,,Historical & Philosophical Perspectives
257,2023,Spring,2023-sp,CMN 277,Introduction to Mediated Communication,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,277,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
257,2023,Spring,2023-sp,CMN 277,Introduction to Mediated Communication,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,277,,,,,,,,,,,,,US Minority Cultures
258,2023,Spring,2023-sp,CMN 280,Comm Technology & Society,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Physical Sciences,Quantitative Reasoning 2,Social Sciences,CMN,280,,,,,,,,,,,,Social Sciences,Social Sciences
259,2023,Spring,2023-sp,CPSC 112,Introduction to Crop Sciences,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 2,Social Sciences,CPSC,112,,,,,,,,Life Sciences,,,,,Life Sciences
260,2023,Spring,2023-sp,CPSC 113,"Environment, Agriculture, and Society",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 2,Social Sciences,CPSC,113,,,,Western/Comparative Cultures,,,,Life Sciences,,,,,Western/Comparative Cultures
260,2023,Spring,2023-sp,CPSC 113,"Environment, Agriculture, and Society",Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 2,Social Sciences,CPSC,113,,,,,,,,,,,,,Life Sciences
261,2023,Spring,2023-sp,CPSC 116,The Global Food Production Web,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 2,Social Sciences,CPSC,116,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
262,2023,Spring,2023-sp,CPSC 131,Agriculture in Mythology,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 2,Social Sciences,CPSC,131,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
263,2023,Spring,2023-sp,CPSC 241,Intro to Applied Statistics,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CPSC,241,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
264,2023,Spring,2023-sp,CPSC 261,Biotechnology in Agriculture,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CPSC,261,,,,,,,,Life Sciences,,,,,Life Sciences
265,2023,Spring,2023-sp,CPSC 270,Applied Entomology,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CPSC,270,,,,,,,,Life Sciences,,,,,Life Sciences
266,2023,Spring,2023-sp,CS 101,Intro Computing: Engrg & Sci,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 2,Social Sciences,CS,101,,,,,,,,,Quantitative Reasoning 2,,,,Quantitative Reasoning 2
267,2023,Spring,2023-sp,CS 105,Intro Computing: Non-Tech,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CS,105,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
268,2023,Spring,2023-sp,CS 107,Data Science Discovery,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CS,107,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
269,2023,Spring,2023-sp,CS 124,Introduction to Computer Science I,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CS,124,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
270,2023,Spring,2023-sp,CS 125,Introduction to Computer Science,Advanced Composition,Non-Western Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,CS,125,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
